證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	199001	  25.2378	 -17.7052	  -4.6717	  -7.2106	 9.500
Y9999  	上市         	199002	  -4.5236	  11.8833	   9.9145	   0.4643	 9.500
Y9999  	上市         	199003	  -8.5519	   5.8640	   3.9280	   0.3599	 9.500
Y9999  	上市         	199004	 -14.8180	   3.2841	  -3.2008	  -2.7231	 9.500
Y9999  	上市         	199005	 -22.0563	 -17.4279	   4.1938	  -6.3277	 9.500
Y9999  	上市         	199006	 -29.3851	 -14.5060	  -1.4331	 -15.4946	 9.500
Y9999  	上市         	199007	  10.3613	  31.7229	  -7.7379	   5.3951	 9.500
Y9999  	上市         	199008	 -35.7387	  -4.9827	   1.7403	   3.2183	 9.500
Y9999  	上市         	199009	 -25.3336	 -11.5727	   8.8706	   4.3730	 9.500
Y9999  	上市         	199010	  21.7734	   7.1225	  -7.7601	  -4.5968	 9.500
Y9999  	上市         	199011	  28.1685	  20.0162	 -21.7224	  -7.2086	 9.500
Y9999  	上市         	199012	   2.1859	  -2.0403	  -7.7344	   3.2318	 9.500
Y9999  	上市         	199101	 -12.6538	   7.2196	   1.8565	  -5.4926	 9.500
Y9999  	上市         	199102	  24.3142	   4.1310	   2.5316	 -11.9053	 9.500
Y9999  	上市         	199103	   2.3270	   2.2661	  25.2655	 -14.2376	 9.500
Y9999  	上市         	199104	  13.4273	  -6.3801	 -15.0236	  -0.4568	 9.500
Y9999  	上市         	199105	  -5.9518	  -1.2070	  -3.1875	  -0.7028	 9.500
Y9999  	上市         	199106	   2.0013	   2.7998	   5.8682	   0.2746	 9.500
Y9999  	上市         	199107	 -11.0314	   0.9993	   3.1646	  -0.7820	 9.250
Y9999  	上市         	199108	 -12.8695	  -3.6499	   4.8171	  -0.9171	 9.250
Y9999  	上市         	199109	   6.3919	  -2.7910	  -1.3317	   2.1193	 8.650
Y9999  	上市         	199110	 -10.4308	  -0.7312	  -0.8463	   0.5349	 8.650
Y9999  	上市         	199111	  -1.1380	   4.6779	  -3.8256	   4.1570	 8.270
Y9999  	上市         	199112	   4.1920	   0.9280	   4.2917	  -3.3152	 8.270
Y9999  	上市         	199201	  16.4017	  13.2965	 -16.3062	 -11.6615	 7.750
Y9999  	上市         	199202	  -5.4188	   1.1081	   1.3254	   6.1487	 7.750
Y9999  	上市         	199203	  -7.2100	   1.2790	   5.0047	   1.9956	 7.750
Y9999  	上市         	199204	  -6.7828	   2.0696	   4.6480	  -0.3948	 7.750
Y9999  	上市         	199205	  -0.7644	  -0.9408	  -5.3652	   0.7701	 7.750
Y9999  	上市         	199206	  -1.0371	  -0.1802	  -7.8799	  -1.2379	 7.750
Y9999  	上市         	199207	 -10.4274	  -1.3856	   5.8488	  -0.9438	 7.750
Y9999  	上市         	199208	  -5.1426	   1.1146	  -5.7094	   3.6565	 7.750
Y9999  	上市         	199209	  -9.9646	  -9.4864	   6.9150	  -4.3005	 8.000
Y9999  	上市         	199210	   2.9506	   2.6918	  -3.5892	   1.6989	 8.000
Y9999  	上市         	199211	   0.7529	  -4.2045	  -3.2632	  -0.3923	 7.750
Y9999  	上市         	199212	  -8.6706	  -2.0309	  -0.1842	   0.6085	 7.750
Y9999  	上市         	199301	  -0.6544	   2.5983	   3.0861	  -1.8309	 7.750
Y9999  	上市         	199302	  29.7342	 -15.3578	 -19.1986	 -20.2781	 7.900
Y9999  	上市         	199303	   8.8764	  10.8127	  -1.3326	  -4.2672	 7.800
Y9999  	上市         	199304	  -6.1493	   2.2898	   7.9311	  -5.5629	 7.800
Y9999  	上市         	199305	  -6.5495	  -6.5742	   6.3497	   1.6974	 7.800
Y9999  	上市         	199306	  -6.7678	  -0.3767	  -3.9847	   4.0680	 8.000
Y9999  	上市         	199307	  -1.5727	   2.7386	   3.4102	  -0.7255	 8.000
Y9999  	上市         	199308	  -2.3293	   0.0142	  -5.4457	   1.9805	 7.800
Y9999  	上市         	199309	  -2.2962	   2.6851	   2.4990	  -0.1780	 7.550
