"","Mkt.rf","SMB","HML","MOM","RF"
"1990-01-31",0.252378,-0.177052,-0.046717,-0.072106,0.00791666666666667
"1990-02-28",-0.045236,0.118833,0.099145,0.004643,0.00791666666666667
"1990-03-31",-0.085519,0.05864,0.03928,0.003599,0.00791666666666667
"1990-04-30",-0.14818,0.032841,-0.032008,-0.027231,0.00791666666666667
"1990-05-31",-0.220563,-0.174279,0.041938,-0.063277,0.00791666666666667
"1990-06-30",-0.293851,-0.14506,-0.014331,-0.154946,0.00791666666666667
"1990-07-31",0.103613,0.317229,-0.077379,0.053951,0.00791666666666667
"1990-08-31",-0.357387,-0.049827,0.017403,0.032183,0.00791666666666667
"1990-09-30",-0.253336,-0.115727,0.088706,0.04373,0.00791666666666667
"1990-10-31",0.217734,0.071225,-0.077601,-0.045968,0.00791666666666667
"1990-11-30",0.281685,0.200162,-0.217224,-0.072086,0.00791666666666667
"1990-12-31",0.021859,-0.020403,-0.077344,0.032318,0.00791666666666667
"1991-01-31",-0.126538,0.072196,0.018565,-0.054926,0.00791666666666667
"1991-02-28",0.243142,0.04131,0.025316,-0.119053,0.00791666666666667
"1991-03-31",0.02327,0.022661,0.252655,-0.142376,0.00791666666666667
"1991-04-30",0.134273,-0.063801,-0.150236,-0.004568,0.00791666666666667
"1991-05-31",-0.059518,-0.01207,-0.031875,-0.007028,0.00791666666666667
"1991-06-30",0.020013,0.027998,0.058682,0.002746,0.00791666666666667
"1991-07-31",-0.110314,0.009993,0.031646,-0.00782,0.00770833333333333
"1991-08-31",-0.128695,-0.036499,0.048171,-0.009171,0.00770833333333333
"1991-09-30",0.063919,-0.02791,-0.013317,0.021193,0.00720833333333333
"1991-10-31",-0.104308,-0.007312,-0.008463,0.005349,0.00720833333333333
"1991-11-30",-0.01138,0.046779,-0.038256,0.04157,0.00689166666666667
"1991-12-31",0.04192,0.00928,0.042917,-0.033152,0.00689166666666667
"1992-01-31",0.164017,0.132965,-0.163062,-0.116615,0.00645833333333333
"1992-02-29",-0.054188,0.011081,0.013254,0.061487,0.00645833333333333
"1992-03-31",-0.0721,0.01279,0.050047,0.019956,0.00645833333333333
"1992-04-30",-0.067828,0.020696,0.04648,-0.003948,0.00645833333333333
"1992-05-31",-0.007644,-0.009408,-0.053652,0.007701,0.00645833333333333
"1992-06-30",-0.010371,-0.001802,-0.078799,-0.012379,0.00645833333333333
"1992-07-31",-0.104274,-0.013856,0.058488,-0.009438,0.00645833333333333
"1992-08-31",-0.051426,0.011146,-0.057094,0.036565,0.00645833333333333
"1992-09-30",-0.099646,-0.094864,0.06915,-0.043005,0.00666666666666667
"1992-10-31",0.029506,0.026918,-0.035892,0.016989,0.00666666666666667
"1992-11-30",0.007529,-0.042045,-0.032632,-0.003923,0.00645833333333333
"1992-12-31",-0.086706,-0.020309,-0.001842,0.006085,0.00645833333333333
"1993-01-31",-0.006544,0.025983,0.030861,-0.018309,0.00645833333333333
"1993-02-28",0.297342,-0.153578,-0.191986,-0.202781,0.00658333333333333
"1993-03-31",0.088764,0.108127,-0.013326,-0.042672,0.0065
"1993-04-30",-0.061493,0.022898,0.079311,-0.055629,0.0065
"1993-05-31",-0.065495,-0.065742,0.063497,0.016974,0.0065
"1993-06-30",-0.067678,-0.003767,-0.039847,0.04068,0.00666666666666667
"1993-07-31",-0.015727,0.027386,0.034102,-0.007255,0.00666666666666667
"1993-08-31",-0.023293,0.000142,-0.054457,0.019805,0.0065
"1993-09-30",-0.022962,0.026851,0.02499,-0.00178,0.00629166666666667
"1993-10-31",0.074915,0.026526,-0.007217,-0.034299,0.00629166666666667
"1993-11-30",0.049684,-0.030715,0.02287,0.023457,0.00629166666666667
"1993-12-31",0.38776,-0.262778,-0.024725,0.08803,0.00629166666666667
"1994-01-31",0.000848,0.007353,0.024932,-0.015891,0.00629166666666667
"1994-02-28",-0.122306,0.040891,-0.003009,-0.031137,0.00629166666666667
"1994-03-31",-0.034593,0.011706,-0.008817,0.009281,0.00629166666666667
"1994-04-30",0.091483,-0.001698,0.014807,0.044972,0.00604166666666667
"1994-05-31",0.023538,-0.007555,0.025228,0.007966,0.00604166666666667
"1994-06-30",0.004029,0.007638,0.016612,0.065856,0.00583333333333333
"1994-07-31",0.12569,-0.057401,-0.012154,0.135743,0.00583333333333333
"1994-08-31",0.036245,0.012701,0.004319,0.00835,0.00583333333333333
"1994-09-30",0.00607,-0.017717,-0.018677,-0.008626,0.00583333333333333
"1994-10-31",-0.084055,-0.011175,0.037282,0.002954,0.00608333333333333
"1994-11-30",-0.03021,0.003534,0.02181,-0.019975,0.00608333333333333
"1994-12-31",0.118183,0.00734,0.113223,-0.07547,0.00608333333333333
"1995-01-31",-0.121826,0.007847,-0.010826,-0.020523,0.00608333333333333
"1995-02-28",0.025582,0.018095,0.011163,-8.8e-05,0.00608333333333333
"1995-03-31",-0.007471,-0.001661,0.003531,0.036081,0.00608333333333333
"1995-04-30",-0.11876,0.022386,-0.001754,-0.014619,0.00608333333333333
"1995-05-31",-0.02775,-0.045803,-0.012695,-0.021701,0.00608333333333333
"1995-06-30",-0.054229,-0.040176,-0.038727,-0.010008,0.00608333333333333
"1995-07-31",-0.053267,-0.042653,0.0091,-0.030255,0.00579166666666667
"1995-08-31",-0.078357,-0.015087,-0.025794,-0.044783,0.00570833333333333
"1995-09-30",0.03912,0.031271,0.015121,-0.036771,0.00554166666666667
"1995-10-31",-0.047585,0.037953,0.006606,-0.027162,0.00554166666666667
"1995-11-30",-0.009442,0.033093,0.002109,-0.024854,0.00554166666666667
