證券代碼	簡稱	年月	收盤價(元)_月
Y9999  	加權指數     	199001	12054.35
Y9999  	加權指數     	199002	11661.73
Y9999  	加權指數     	199003	10755.87
Y9999  	加權指數     	199004	 9292.37
Y9999  	加權指數     	199005	 7290.88
Y9999  	加權指數     	199006	 5049.58
Y9999  	加權指數     	199007	 5618.21
Y9999  	加權指數     	199008	 3635.28
Y9999  	加權指數     	199009	 2705.01
Y9999  	加權指數     	199010	 3318.53
Y9999  	加權指數     	199011	 4377.27
Y9999  	加權指數     	199012	 4530.16
Y9999  	加權指數     	199101	 4023.72
Y9999  	加權指數     	199102	 5033.37
Y9999  	加權指數     	199103	 5139.94
Y9999  	加權指數     	199104	 5921.29
Y9999  	加權指數     	199105	 5610.72
Y9999  	加權指數     	199106	 5768.08
Y9999  	加權指數     	199107	 5178.06
Y9999  	加權指數     	199108	 4505.67
Y9999  	加權指數     	199109	 4867.13
Y9999  	加權指數     	199110	 4389.86
Y9999  	加權指數     	199111	 4378.50
Y9999  	加權指數     	199112	 4600.67
Y9999  	加權指數     	199201	 5391.63
Y9999  	加權指數     	199202	 5142.42
Y9999  	加權指數     	199203	 4800.94
Y9999  	加權指數     	199204	 4496.19
Y9999  	加權指數     	199205	 4496.58
Y9999  	加權指數     	199206	 4523.81
Y9999  	加權指數     	199207	 4108.52
Y9999  	加權指數     	199208	 3946.35
Y9999  	加權指數     	199209	 3524.21
Y9999  	加權指數     	199210	 3631.73
Y9999  	加權指數     	199211	 3675.01
Y9999  	加權指數     	199212	 3377.06
Y9999  	加權指數     	199301	 3374.56
Y9999  	加權指數     	199302	 4384.67
Y9999  	加權指數     	199303	 4825.29
Y9999  	加權指數     	199304	 4563.52
Y9999  	加權指數     	199305	 4267.90
Y9999  	加權指數     	199306	 3995.51
Y9999  	加權指數     	199307	 3960.38
Y9999  	加權指數     	199308	 3892.04
Y9999  	加權指數     	199309	 3832.69
Y9999  	加權指數     	199310	 4131.68
Y9999  	加權指數     	199311	 4353.90
Y9999  	加權指數     	199312	 6070.56
Y9999  	加權指數     	199401	 6115.12
Y9999  	加權指數     	199402	 5414.64
Y9999  	加權指數     	199403	 5249.22
Y9999  	加權指數     	199404	 5737.33
Y9999  	加權指數     	199405	 5891.56
Y9999  	加權指數     	199406	 5932.60
Y9999  	加權指數     	199407	 6720.05
Y9999  	加權指數     	199408	 7008.11
Y9999  	加權指數     	199409	 7091.13
Y9999  	加權指數     	199410	 6526.47
